City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
70,Katsuura,35.13,140.3,81.0,68,55,5.99,JP,2020-06-20 01:34:42
71,Chavakkad,10.53,76.05,75.2,100,40,1.59,IN,2020-06-20 01:34:42
72,Urucui,-7.23,-44.56,76.24,56,0,4.54,BR,2020-06-20 01:34:42
73,Prince Rupert,54.32,-130.32,59.0,87,90,13.87,CA,2020-06-20 01:34:43
74,Los Llanos De Aridane,28.66,-17.92,71.6,68,13,9.17,ES,2020-06-20 01:34:43
75,Rundu,-17.93,19.77,45.07,60,96,4.18,NA,2020-06-20 01:34:43
76,Coihaique,-45.58,-72.07,39.2,86,90,3.36,CL,2020-06-20 01:32:04
77,Port Alfred,-33.59,26.89,66.99,36,0,11.01,ZA,2020-06-20 01:34:39
78,Vao,-22.67,167.48,68.97,82,38,21.72,NC,2020-06-20 01:34:44
79,Vaini,-21.2,-175.2,77.0,73,75,14.99,TO,2020-06-20 01:34:35
80,Aswan,24.09,32.91,77.38,27,0,8.88,EG,2020-06-20 01:34:44
81,Touros,-5.2,-35.46,73.4,100,75,4.7,BR,2020-06-20 01:34:45
82,Dingle,11.0,122.67,86.52,65,13,7.16,PH,2020-06-20 01:34:45
83,Qasigiannguit,68.82,-51.19,51.8,37,0,17.22,GL,2020-06-20 01:34:45
84,Port Keats,-14.25,129.55,86.25,42,0,7.9,AU,2020-06-20 01:34:46
85,Goderich,43.75,-81.72,70.0,67,0,2.91,CA,2020-06-20 01:34:46
86,Ribeira Grande,38.52,-28.7,64.9,87,97,17.31,PT,2020-06-20 01:34:46
87,Hualmay,-11.1,-77.61,62.01,85,37,8.59,PE,2020-06-20 01:34:47
88,Isangel,-19.55,169.27,78.8,65,97,13.87,VU,2020-06-20 01:34:47
89,Saint-Pierre,-21.34,55.48,69.8,68,75,17.22,RE,2020-06-20 01:34:13
90,Mahebourg,-20.41,57.7,71.6,68,40,14.99,MU,2020-06-20 01:34:47
91,Chamouny,-20.48,57.47,71.6,68,40,14.99,MU,2020-06-20 01:34:48
92,Kodiak,57.79,-152.41,53.6,71,75,12.75,US,2020-06-20 01:33:06
93,Butaritari,3.07,172.79,80.64,84,100,17.0,KI,2020-06-20 01:34:48
94,Middelburg,-25.78,29.46,40.8,67,0,2.57,ZA,2020-06-20 01:34:49
95,Mount Gambier,-37.83,140.77,50.0,87,90,14.99,AU,2020-06-20 01:30:55
96,San Carlos De Bariloche,-41.15,-71.31,33.8,91,75,3.36,AR,2020-06-20 01:30:25
97,Nikolskoye,59.7,30.79,62.6,72,7,13.42,RU,2020-06-20 01:34:49
98,Sacramento,38.47,-121.32,95.0,23,1,10.29,US,2020-06-20 01:34:50
99,Komarikhinskiy,58.1,57.12,57.2,67,39,17.9,RU,2020-06-20 01:34:50
100,Leningradskiy,69.38,178.42,48.15,56,0,6.13,RU,2020-06-20 01:34:50
101,Jamestown,42.1,-79.24,66.2,100,90,3.36,US,2020-06-20 01:31:41
102,Seoul,37.57,126.98,80.6,57,21,3.36,KR,2020-06-20 01:34:51
103,Tuatapere,-46.13,167.68,51.01,72,48,2.01,NZ,2020-06-20 01:34:51
104,Nizwa,22.93,57.53,87.1,41,14,0.94,OM,2020-06-20 01:34:52
105,Dabat,12.98,37.77,57.7,79,99,2.51,ET,2020-06-20 01:34:52
106,Iqaluit,63.75,-68.51,39.2,80,75,9.17,CA,2020-06-20 01:34:52
107,Kimbe,-5.55,150.14,87.4,64,50,5.1,PG,2020-06-20 01:34:52
108,Pop,40.87,71.11,69.8,43,0,4.7,UZ,2020-06-20 01:34:53
109,La Ronge,55.1,-105.28,42.8,87,90,4.7,CA,2020-06-20 01:34:51
110,Tchollire,8.4,14.17,71.46,95,42,3.2,CM,2020-06-20 01:34:53
111,Padang,-0.95,100.35,84.31,62,99,4.07,ID,2020-06-20 01:34:53
112,Cabo San Lucas,22.89,-109.91,93.2,18,5,9.17,MX,2020-06-20 01:34:54
113,Baruun-Urt,46.68,113.28,71.24,62,95,17.49,MN,2020-06-20 01:34:54
114,Tuktoyaktuk,69.45,-133.04,48.2,70,90,11.41,CA,2020-06-20 01:34:54
115,Taltal,-25.4,-70.48,56.98,74,11,4.79,CL,2020-06-20 01:34:54
116,Panaba,21.28,-88.27,78.21,89,38,6.91,MX,2020-06-20 01:34:55
117,Mehamn,71.04,27.85,43.12,83,96,17.07,NO,2020-06-20 01:34:55
118,Geraldton,-28.77,114.6,53.6,66,0,16.11,AU,2020-06-20 01:34:55
119,Carnarvon,-24.87,113.63,66.2,55,0,6.93,AU,2020-06-20 01:34:55
120,Ust-Maya,60.42,134.53,76.66,36,11,7.05,RU,2020-06-20 01:34:56
121,Thompson,55.74,-97.86,48.2,87,90,6.93,CA,2020-06-20 01:34:56
122,Hobe Sound,27.06,-80.14,75.2,94,40,15.88,US,2020-06-20 01:34:56
123,Shimoda,34.67,138.95,75.2,69,75,5.82,JP,2020-06-20 01:34:56
124,Buraydah,26.33,43.98,78.8,27,0,4.7,SA,2020-06-20 01:34:57
125,Birjand,32.87,59.22,66.2,19,0,8.32,IR,2020-06-20 01:34:57
126,Georgetown,5.41,100.34,78.8,94,40,4.7,MY,2020-06-20 01:34:57
127,Poros,37.5,23.45,77.0,61,78,6.53,GR,2020-06-20 01:34:57
128,Marrakesh,31.63,-8.01,69.8,56,0,3.36,MA,2020-06-20 01:33:35
129,Sterling,39.01,-77.43,72.0,94,75,3.36,US,2020-06-20 01:32:24
130,Brownwood,31.71,-98.99,89.6,43,20,13.87,US,2020-06-20 01:31:51
131,Uzunovo,54.54,38.62,62.47,94,0,1.92,RU,2020-06-20 01:34:58
132,Bintulu,3.17,113.03,82.4,83,75,4.7,MY,2020-06-20 01:34:59
133,Wewak,-3.55,143.63,84.92,66,6,3.36,PG,2020-06-20 01:34:59
134,Micheweni,-4.97,39.83,77.54,79,4,15.32,TZ,2020-06-20 01:34:59
135,Honningsvag,70.98,25.97,43.54,81,64,15.86,NO,2020-06-20 01:34:59
136,East London,-33.02,27.91,67.23,31,0,10.87,ZA,2020-06-20 01:35:00
137,Norman Wells,65.28,-126.83,78.8,36,75,4.7,CA,2020-06-20 01:35:00
138,Horqueta,-23.34,-57.06,75.65,60,0,7.85,PY,2020-06-20 01:35:00
139,Mezhova,48.25,36.73,67.17,58,97,11.21,UA,2020-06-20 01:35:00
140,Saint George,37.1,-113.58,93.99,7,1,4.7,US,2020-06-20 01:31:12
141,Ostrovnoy,68.05,39.51,43.29,85,100,21.99,RU,2020-06-20 01:35:01
142,Constitucion,-35.33,-72.42,53.78,93,96,6.44,CL,2020-06-20 01:35:01
143,Manaia,-39.55,174.13,57.0,92,49,5.01,NZ,2020-06-20 01:35:01
144,Sinjai,-5.12,120.25,79.59,87,94,4.47,ID,2020-06-20 01:30:23
145,Arraial Do Cabo,-22.97,-42.03,69.8,88,0,6.93,BR,2020-06-20 01:35:02
146,General Pico,-35.66,-63.76,50.7,46,0,4.36,AR,2020-06-20 01:35:02
147,Cherskiy,68.75,161.3,82.53,25,5,6.31,RU,2020-06-20 01:35:02
148,Souillac,-20.52,57.52,71.6,68,40,14.99,MU,2020-06-20 01:35:03
149,Camara De Lobos,32.63,-16.97,69.8,68,75,12.75,PT,2020-06-20 01:35:03
150,Aktash,50.3,87.73,52.84,47,0,3.74,RU,2020-06-20 01:35:03
151,Hithadhoo,-0.6,73.08,83.08,74,100,14.56,MV,2020-06-20 01:35:03
152,Kavieng,-2.57,150.8,85.32,70,22,7.34,PG,2020-06-20 01:35:04
153,Nouadhibou,20.93,-17.03,71.6,73,0,20.8,MR,2020-06-20 01:34:49
154,Kolyvan,55.31,82.74,51.8,81,0,2.24,RU,2020-06-20 01:35:04
155,Ayagoz,47.97,80.44,50.95,81,100,18.9,KZ,2020-06-20 01:35:05
156,Lazaro Cardenas,17.96,-102.2,79.9,69,3,4.99,MX,2020-06-20 01:35:05
157,Fort Nelson,58.81,-122.7,84.2,30,75,3.36,CA,2020-06-20 01:31:07
158,Rio Grande,-32.03,-52.1,60.01,96,100,1.99,BR,2020-06-20 01:35:05
159,Port Said,31.26,32.28,75.2,83,0,9.17,EG,2020-06-20 01:35:06
160,Puerto Escondido,15.85,-97.07,82.38,78,95,2.15,MX,2020-06-20 01:34:59
161,Verkhnetulomskiy,68.61,31.8,42.8,81,75,6.71,RU,2020-06-20 01:35:06
162,Sao Geraldo Do Araguaia,-6.4,-48.55,76.28,77,80,0.89,BR,2020-06-20 01:35:06
163,Hokitika,-42.72,170.97,58.51,58,41,3.33,NZ,2020-06-20 01:35:06
164,Sao Filipe,14.9,-24.5,76.62,79,0,7.83,CV,2020-06-20 01:34:36
165,Fortuna,40.6,-124.16,57.0,93,90,11.41,US,2020-06-20 01:34:45
166,Lavrentiya,65.58,-171.0,56.14,39,0,15.35,RU,2020-06-20 01:35:07
167,Avarua,-21.21,-159.78,75.2,60,35,4.7,CK,2020-06-20 01:34:33
168,Gazli,40.13,63.45,81.88,15,0,7.25,UZ,2020-06-20 01:35:07
169,Kapustin Yar,48.58,45.74,72.59,37,78,11.14,RU,2020-06-20 01:35:08
170,Narasannapeta,18.42,84.05,86.86,63,100,5.14,IN,2020-06-20 01:35:02
171,Chara,56.91,118.26,62.01,51,27,3.65,RU,2020-06-20 01:35:08
172,Pemangkat,1.17,108.97,81.79,76,80,4.5,ID,2020-06-20 01:35:08
173,Bambous Virieux,-20.34,57.76,71.6,68,40,14.99,MU,2020-06-20 01:35:09
174,Bolkhov,53.44,36.0,62.13,94,0,4.12,RU,2020-06-20 01:35:09
175,Ponta Do Sol,32.67,-17.1,69.8,68,75,12.75,PT,2020-06-20 01:35:09
176,Juneau,58.3,-134.42,59.0,87,90,5.82,US,2020-06-20 01:33:04
177,Sitka,57.05,-135.33,55.4,93,90,3.36,US,2020-06-20 01:35:09
178,Bisert,56.86,59.05,54.52,73,100,11.32,RU,2020-06-20 01:35:10
179,Carlsbad,33.16,-117.35,70.0,73,90,8.05,US,2020-06-20 01:30:21
180,Finnsnes,69.23,17.98,41.0,80,2,11.41,NO,2020-06-20 01:30:23
181,Fairbanks,64.84,-147.72,59.0,87,75,9.17,US,2020-06-20 01:30:32
182,Wageningen,51.97,5.67,59.0,100,0,4.7,NL,2020-06-20 01:30:22
183,Muzhi,65.37,64.67,48.74,74,100,13.58,RU,2020-06-20 01:35:11
184,Nokaneng,-19.67,22.27,47.77,70,89,5.61,BW,2020-06-20 01:35:11
