City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
405,pacific grove,US,75.0,36.62,-121.92,Lovers Point Inn
406,gazojak,TM,86.54,41.19,61.4,
410,ilebo,CD,70.59,-4.32,20.58,Hôtel des palmes
412,basco,PH,84.97,20.45,121.97,Nathaniel's Lodge
413,vila velha,BR,75.2,-20.33,-40.29,Hotel Vitória Palace
417,san quintin,MX,70.32,30.48,-115.95,Old Mill Hotel
419,sechura,PE,72.86,-5.56,-80.82,Hospedaje Costa Bella
420,resistencia,AR,82.4,-27.46,-58.98,Niyat Urban Hotel
422,huangzhou,CN,71.6,30.45,114.8,Manjianghong Business Hotel
423,benjamin constant,BR,87.8,-4.38,-70.03,CASA AVALIADA
425,grand gaube,MU,72.0,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
427,teavaro,PF,84.2,-17.5,-149.77,Hotel Sofitel Moorea Ia Ora Beach Resort
428,ormara,PK,84.51,25.21,64.64,
429,touros,BR,77.0,-5.2,-35.46,INN NEW HORIZON
430,yuxia,CN,73.0,34.06,108.63,Xinhua Hostel
431,medicine hat,CA,73.4,50.05,-110.67,Ramada Limited Medicine Hat
434,mogadishu,SO,79.12,2.04,45.34,Hotel Juba
436,revelstoke,CA,73.4,50.98,-118.2,Best Western Plus Revelstoke
438,lorengau,PG,82.09,-2.02,147.27,Lorengau Harbourside Hotel
441,sorong,ID,78.48,-0.88,131.25,The Waigo Hotel
442,klaebu,NO,77.0,63.3,10.48,Gjenvollhytta
443,conceicao do araguaia,BR,79.34,-8.26,-49.26,Tarumã Tropical Hotel
446,gorontalo,ID,74.68,0.54,123.06,Maqna Hotel by Prasanthi
449,guadalupe,MX,93.2,25.68,-100.25,Fiesta Inn Monterrey Fundidora
451,tra vinh,VN,77.72,9.93,106.35,Hồng Ân
455,hattiesburg,US,91.4,31.33,-89.29,Quality Inn & Suites
460,canaries,ES,72.0,28.0,-15.5,Villa del Monte
462,qui nhon,VN,79.66,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
463,odweyne,SO,76.87,9.41,45.06,Eng Hiirey House
464,taua,BR,72.36,-5.97,-40.3,Hotel São Silvestre
470,katyuzhanka,UA,73.4,50.81,30.14,
474,shunyi,CN,86.0,40.12,116.65,Beijing Mingchen Holiday Hotel
475,ahuimanu,US,84.2,21.44,-157.84,Paradise Bay Resort
476,tema,GH,78.8,5.67,-0.02,Beulah Royale
477,araguaina,BR,77.43,-7.19,-48.21,Hotel São Vicente
478,oranjestad,AW,86.0,12.52,-70.03,Divi Village Golf & Beach Resort
483,dedougou,BF,91.11,12.47,-3.47,Hôtel Bon Séjour
485,motril,ES,77.0,36.75,-3.52,Elba Motril Hotel Beach & Business Hotel
486,craig,US,73.4,40.52,-107.55,Candlewood Suites Craig-Northwest
492,erenhot,CN,74.77,43.65,111.98,Erenhot Rurouni Youth Hostel
493,iseyin,NG,72.59,7.97,3.6,NYSC Orientation Camp Oyo
495,norfolk,US,88.0,42.17,-71.25,Residence Inn by Marriott Boston Norwood/Canton
497,khash,IR,77.04,28.22,61.22,دفتر پیشخوان دولت جمال زهی (خالد)
498,rio grande,BR,75.0,-32.03,-52.1,Swan Express Rio Grande
503,manta,EC,80.6,-0.95,-80.73,Balandra Hotel
506,omsukchan,RU,73.08,62.53,155.8,
507,west wendover,US,91.4,40.74,-114.07,"Motel 6 Wendover, UT"
508,mayskiy,RU,71.6,47.69,40.1,Dio Lakrua
512,soyo,AO,72.97,-6.13,12.37,Hotel Mpampa
513,mombasa,KE,77.31,-4.05,39.66,New Palm Tree Hotel
514,sandakan,MY,78.8,5.84,118.12,Hotel Sandakan
515,taormina,IT,71.01,37.85,15.29,Taormina Hotel Villa Ducale
519,ipora,BR,71.13,-16.44,-51.12,Oásis Motel
520,vidalia,US,91.4,32.22,-82.41,Quality Inn & Suites
522,tari,NG,90.88,12.41,4.49,
523,cerrito,CO,75.2,6.84,-72.69,Finca Lulu
524,gat,IL,84.0,31.61,34.76,רגע בנחת
525,quirinopolis,BR,72.16,-18.45,-50.45,Rota Hotéis - Quirinópolis GO
529,harrisburg,US,84.99,40.27,-76.88,Hilton Harrisburg
530,praya,CV,78.8,14.92,-23.51,LT Aparthotel
532,kalmunai,LK,82.38,7.42,81.82,VS Villa
533,russell,US,82.99,32.35,-85.2,Macs
535,denpasar,ID,78.8,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
539,biak,ID,76.69,-0.91,122.88,Kost Ariz
540,maragogi,BR,76.19,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
542,misratah,LY,71.13,32.38,15.09,فندق الماسة
543,bodden town,KY,89.6,19.28,-81.25,Will T Place
548,matagami,CA,77.0,49.75,-77.63,Hôtel Matagami
549,agadez,NE,86.47,19.75,10.25,
550,sao joao da barra,BR,75.2,-21.64,-41.05,Pousada Porto De Canoas
